model_id,predictor,predictor_role,predictor_vif,status,reason,missing_covariates,n_complete,n_exposure_outcome_complete,n_adjusted_complete,design_rank,design_columns,maximum_vif,vif_offending_predictor,maximum_absolute_pairwise_correlation,maximum_correlation_predictor_1,maximum_correlation_predictor_2,standardized_design_condition_number,hc3_covariance_status,minimum_distinct_exposure_values,distinct_exposure_values,failed_gates,results_authorized
C1,hypertension_ehr_percent_2022_2024,exposure,,withheld_insufficient_complete_areas,fewer_than_70_complete_community_areas,,0,0,0,,7,,,,,,,not_assessed,0,diabetes_ehr_percent_2022_2024=0|hypertension_ehr_percent_2022_2024=0,insufficient_complete_areas|insufficient_exposure_variation|adjusted_insufficient_complete_areas|adjusted_insufficient_exposure_variation,False
C1,diabetes_ehr_percent_2022_2024,exposure,,withheld_insufficient_complete_areas,fewer_than_70_complete_community_areas,,0,0,0,,7,,,,,,,not_assessed,0,diabetes_ehr_percent_2022_2024=0|hypertension_ehr_percent_2022_2024=0,insufficient_complete_areas|insufficient_exposure_variation|adjusted_insufficient_complete_areas|adjusted_insufficient_exposure_variation,False
C1,pct_age_65_plus,adjustment,,withheld_insufficient_complete_areas,fewer_than_70_complete_community_areas,,0,0,0,,7,,,,,,,not_assessed,0,diabetes_ehr_percent_2022_2024=0|hypertension_ehr_percent_2022_2024=0,insufficient_complete_areas|insufficient_exposure_variation|adjusted_insufficient_complete_areas|adjusted_insufficient_exposure_variation,False
C1,pct_female,adjustment,,withheld_insufficient_complete_areas,fewer_than_70_complete_community_areas,,0,0,0,,7,,,,,,,not_assessed,0,diabetes_ehr_percent_2022_2024=0|hypertension_ehr_percent_2022_2024=0,insufficient_complete_areas|insufficient_exposure_variation|adjusted_insufficient_complete_areas|adjusted_insufficient_exposure_variation,False
C1,pct_below_fpl,adjustment,,withheld_insufficient_complete_areas,fewer_than_70_complete_community_areas,,0,0,0,,7,,,,,,,not_assessed,0,diabetes_ehr_percent_2022_2024=0|hypertension_ehr_percent_2022_2024=0,insufficient_complete_areas|insufficient_exposure_variation|adjusted_insufficient_complete_areas|adjusted_insufficient_exposure_variation,False
C1,capture_rate_mean_2022_2024,adjustment,,withheld_insufficient_complete_areas,fewer_than_70_complete_community_areas,,0,0,0,,7,,,,,,,not_assessed,0,diabetes_ehr_percent_2022_2024=0|hypertension_ehr_percent_2022_2024=0,insufficient_complete_areas|insufficient_exposure_variation|adjusted_insufficient_complete_areas|adjusted_insufficient_exposure_variation,False
C2,copd_ehr_percent_2022_2024,exposure,4.405600334984023,ready_for_adjusted_primary_model,all_frozen_readiness_gates_passed,,76,76,76,6,6,4.40560033498,copd_ehr_percent_2022_2024,0.755371854783,copd_ehr_percent_2022_2024,pct_below_fpl,4.51795750863,estimable_and_finite,76,copd_ehr_percent_2022_2024=76,,False
C2,pct_age_65_plus,adjustment,1.4996483059486576,ready_for_adjusted_primary_model,all_frozen_readiness_gates_passed,,76,76,76,6,6,4.40560033498,copd_ehr_percent_2022_2024,0.755371854783,copd_ehr_percent_2022_2024,pct_below_fpl,4.51795750863,estimable_and_finite,76,copd_ehr_percent_2022_2024=76,,False
C2,pct_female,adjustment,1.6175673209525656,ready_for_adjusted_primary_model,all_frozen_readiness_gates_passed,,76,76,76,6,6,4.40560033498,copd_ehr_percent_2022_2024,0.755371854783,copd_ehr_percent_2022_2024,pct_below_fpl,4.51795750863,estimable_and_finite,76,copd_ehr_percent_2022_2024=76,,False
C2,pct_below_fpl,adjustment,2.9179590927825965,ready_for_adjusted_primary_model,all_frozen_readiness_gates_passed,,76,76,76,6,6,4.40560033498,copd_ehr_percent_2022_2024,0.755371854783,copd_ehr_percent_2022_2024,pct_below_fpl,4.51795750863,estimable_and_finite,76,copd_ehr_percent_2022_2024=76,,False
C2,capture_rate_mean_2022_2024,adjustment,2.1403807054609723,ready_for_adjusted_primary_model,all_frozen_readiness_gates_passed,,76,76,76,6,6,4.40560033498,copd_ehr_percent_2022_2024,0.755371854783,copd_ehr_percent_2022_2024,pct_below_fpl,4.51795750863,estimable_and_finite,76,copd_ehr_percent_2022_2024=76,,False
