sample_n,spearman_r,quadratic_weighted_kappa,gwet_ac1,median_absolute_percentile_rank_gap,discordance_category_total,condition_id,stratum,capture_quartile,reliability_tier,source_reliability_provenance,assignment_rule,crossing_sensitivity,analysis_status,interpretation_label,results_authorized,noncrossing_only,capture_quartile_cut_points,capture_quartile_cut_point_source
411,0.738878006051,0.69395557974,0.334968079047,0.133819951338,411,copd,overall,all,all,source_id=capricorn_chicagohealthmap_export_2026_05_27;snapshot_id=capricorn_chicagohealthmap_export_2026_05_27_2026-05-27;reliability_tier=High (10-20%);reliability_flag=reliability_available|source_id=capricorn_chicagohealthmap_export_2026_05_27;snapshot_id=capricorn_chicagohealthmap_export_2026_05_27_2026-05-27;reliability_tier=Low (2-5%);reliability_flag=reliability_available|source_id=capricorn_chicagohealthmap_export_2026_05_27;snapshot_id=capricorn_chicagohealthmap_export_2026_05_27_2026-05-27;reliability_tier=Moderate (5-10%);reliability_flag=reliability_available|source_id=capricorn_chicagohealthmap_export_2026_05_27;snapshot_id=capricorn_chicagohealthmap_export_2026_05_27_2026-05-27;reliability_tier=Very High (>=20%);reliability_flag=reliability_available,dominant_community_area_max_overlay_weight_gte_0.99,all_eligible,descriptive_measurement_discordance,measurement_discordance_only_neutral,False,False,0.0518|0.0735|0.1127,governed_community_area_eligible_population
61,0.0153369606713,0.00479846449136,0.101840490798,0.169099756691,61,copd,capture=Q1;reliability=Low (2-5%),Q1,Low (2-5%),source_id=capricorn_chicagohealthmap_export_2026_05_27;snapshot_id=capricorn_chicagohealthmap_export_2026_05_27_2026-05-27;reliability_tier=Low (2-5%);reliability_flag=reliability_available,dominant_community_area_max_overlay_weight_gte_0.99,all_eligible,descriptive_measurement_discordance,measurement_discordance_only_neutral,False,False,0.0518|0.0735|0.1127,governed_community_area_eligible_population
5,-0.7,0,0.55223880597,0.214111922141,5,copd,capture=Q1;reliability=Moderate (5-10%),Q1,Moderate (5-10%),source_id=capricorn_chicagohealthmap_export_2026_05_27;snapshot_id=capricorn_chicagohealthmap_export_2026_05_27_2026-05-27;reliability_tier=Moderate (5-10%);reliability_flag=reliability_available,dominant_community_area_max_overlay_weight_gte_0.99,all_eligible,descriptive_measurement_discordance,measurement_discordance_only_neutral,False,False,0.0518|0.0735|0.1127,governed_community_area_eligible_population
59,0.535883007507,0.425362750944,0.506216265389,0.13503649635,59,copd,capture=Q2;reliability=Moderate (5-10%),Q2,Moderate (5-10%),source_id=capricorn_chicagohealthmap_export_2026_05_27;snapshot_id=capricorn_chicagohealthmap_export_2026_05_27_2026-05-27;reliability_tier=Moderate (5-10%);reliability_flag=reliability_available,dominant_community_area_max_overlay_weight_gte_0.99,all_eligible,descriptive_measurement_discordance,measurement_discordance_only_neutral,False,False,0.0518|0.0735|0.1127,governed_community_area_eligible_population
39,0.542517249484,0.565217391304,0.122963817212,0.195863746959,39,copd,capture=Q3;reliability=High (10-20%),Q3,High (10-20%),source_id=capricorn_chicagohealthmap_export_2026_05_27;snapshot_id=capricorn_chicagohealthmap_export_2026_05_27_2026-05-27;reliability_tier=High (10-20%);reliability_flag=reliability_available,dominant_community_area_max_overlay_weight_gte_0.99,all_eligible,descriptive_measurement_discordance,measurement_discordance_only_neutral,False,False,0.0518|0.0735|0.1127,governed_community_area_eligible_population
95,0.78465223743,0.729020979021,0.412745915714,0.104622871046,95,copd,capture=Q3;reliability=Moderate (5-10%),Q3,Moderate (5-10%),source_id=capricorn_chicagohealthmap_export_2026_05_27;snapshot_id=capricorn_chicagohealthmap_export_2026_05_27_2026-05-27;reliability_tier=Moderate (5-10%);reliability_flag=reliability_available,dominant_community_area_max_overlay_weight_gte_0.99,all_eligible,descriptive_measurement_discordance,measurement_discordance_only_neutral,False,False,0.0518|0.0735|0.1127,governed_community_area_eligible_population
139,0.674512256366,0.706001922813,0.423834196891,0.11800486618,139,copd,capture=Q4;reliability=High (10-20%),Q4,High (10-20%),source_id=capricorn_chicagohealthmap_export_2026_05_27;snapshot_id=capricorn_chicagohealthmap_export_2026_05_27_2026-05-27;reliability_tier=High (10-20%);reliability_flag=reliability_available,dominant_community_area_max_overlay_weight_gte_0.99,all_eligible,descriptive_measurement_discordance,measurement_discordance_only_neutral,False,False,0.0518|0.0735|0.1127,governed_community_area_eligible_population
13,0.494505494505,0.602620087336,0.435464414958,0.166666666667,13,copd,capture=Q4;reliability=Very High (>=20%),Q4,Very High (>=20%),source_id=capricorn_chicagohealthmap_export_2026_05_27;snapshot_id=capricorn_chicagohealthmap_export_2026_05_27_2026-05-27;reliability_tier=Very High (>=20%);reliability_flag=reliability_available,dominant_community_area_max_overlay_weight_gte_0.99,all_eligible,descriptive_measurement_discordance,measurement_discordance_only_neutral,False,False,0.0518|0.0735|0.1127,governed_community_area_eligible_population
722,0.879646456483,0.839512758958,0.530934394299,0.0834487534626,722,hypertension,overall,all,all,source_id=capricorn_chicagohealthmap_export_2026_05_27;snapshot_id=capricorn_chicagohealthmap_export_2026_05_27_2026-05-27;reliability_tier=High (10-20%);reliability_flag=reliability_available|source_id=capricorn_chicagohealthmap_export_2026_05_27;snapshot_id=capricorn_chicagohealthmap_export_2026_05_27_2026-05-27;reliability_tier=Low (2-5%);reliability_flag=reliability_available|source_id=capricorn_chicagohealthmap_export_2026_05_27;snapshot_id=capricorn_chicagohealthmap_export_2026_05_27_2026-05-27;reliability_tier=Minimal (<2%);reliability_flag=reliability_available|source_id=capricorn_chicagohealthmap_export_2026_05_27;snapshot_id=capricorn_chicagohealthmap_export_2026_05_27_2026-05-27;reliability_tier=Moderate (5-10%);reliability_flag=reliability_available|source_id=capricorn_chicagohealthmap_export_2026_05_27;snapshot_id=capricorn_chicagohealthmap_export_2026_05_27_2026-05-27;reliability_tier=Very High (>=20%);reliability_flag=reliability_available,dominant_community_area_max_overlay_weight_gte_0.99,all_eligible,descriptive_measurement_discordance,measurement_discordance_only_neutral,False,False,0.0518|0.0735|0.1127,governed_community_area_eligible_population
176,0.482472167608,0.519445924347,0.460369543584,0.0914127423823,176,hypertension,capture=Q1;reliability=Low (2-5%),Q1,Low (2-5%),source_id=capricorn_chicagohealthmap_export_2026_05_27;snapshot_id=capricorn_chicagohealthmap_export_2026_05_27_2026-05-27;reliability_tier=Low (2-5%);reliability_flag=reliability_available,dominant_community_area_max_overlay_weight_gte_0.99,all_eligible,descriptive_measurement_discordance,measurement_discordance_only_neutral,False,False,0.0518|0.0735|0.1127,governed_community_area_eligible_population
